SHOW,SEASON,EPISODE,UMAP1,UMAP2,SIL_SCORE,SUBSET,DISRUPTION,SHOW_LABEL
office,6.0,4.0,1.3163285,-0.43724802,0.12552397,Emotion,RAW,The Office
office,6.0,6.0,-0.8104364,-0.5775534,0.12552397,Emotion,RAW,The Office
office,6.0,7.0,0.9462136,0.27667642,0.12552397,Emotion,RAW,The Office
office,6.0,8.0,0.6539621,-1.0750005,0.12552397,Emotion,RAW,The Office
office,6.0,9.0,1.3077508,-0.21607031,0.12552397,Emotion,RAW,The Office
office,6.0,10.0,0.60805625,-1.266976,0.12552397,Emotion,RAW,The Office
office,6.0,11.0,1.121164,-1.2942716,0.12552397,Emotion,RAW,The Office
office,6.0,12.0,-0.31096774,-0.8776443,0.12552397,Emotion,RAW,The Office
office,6.0,13.0,1.113459,0.37646717,0.12552397,Emotion,RAW,The Office
office,6.0,14.0,1.3239088,-0.6470986,0.12552397,Emotion,RAW,The Office
office,6.0,15.0,1.0880241,-1.3967943,0.12552397,Emotion,RAW,The Office
office,6.0,16.0,1.3269857,-0.27276874,0.12552397,Emotion,RAW,The Office
office,6.0,17.0,1.5186014,-0.68668294,0.12552397,Emotion,RAW,The Office
office,6.0,19.0,1.5053098,-0.6734813,0.12552397,Emotion,RAW,The Office
office,6.0,20.0,0.31724668,0.23141374,0.12552397,Emotion,RAW,The Office
office,6.0,21.0,1.4086577,-0.6280756,0.12552397,Emotion,RAW,The Office
office,6.0,22.0,1.7665482,-0.8027382,0.12552397,Emotion,RAW,The Office
office,6.0,23.0,0.9582439,-1.1769317,0.12552397,Emotion,RAW,The Office
office,6.0,24.0,-0.22991438,-0.7052509,0.12552397,Emotion,RAW,The Office
office,6.0,25.0,0.18114012,-1.556891,0.12552397,Emotion,RAW,The Office
office,6.0,26.0,-0.91215307,-0.5470352,0.12552397,Emotion,RAW,The Office
office,7.0,1.0,-0.3727053,0.6506307,0.12552397,Emotion,RAW,The Office
office,7.0,2.0,0.52335554,-1.6135007,0.12552397,Emotion,RAW,The Office
office,7.0,3.0,1.2706289,-0.16968703,0.12552397,Emotion,RAW,The Office
office,7.0,4.0,-0.2240914,-0.74363047,0.12552397,Emotion,RAW,The Office
office,7.0,5.0,0.5340564,-1.0692433,0.12552397,Emotion,RAW,The Office
office,7.0,6.0,0.8603421,0.10411558,0.12552397,Emotion,RAW,The Office
office,7.0,7.0,1.7432411,-0.77101016,0.12552397,Emotion,RAW,The Office
office,7.0,8.0,1.1868378,0.14658739,0.12552397,Emotion,RAW,The Office
office,7.0,9.0,1.0921589,-1.2777693,0.12552397,Emotion,RAW,The Office
office,7.0,10.0,0.19978899,-1.3498983,0.12552397,Emotion,RAW,The Office
office,7.0,11.0,1.360738,-0.15314294,0.12552397,Emotion,RAW,The Office
office,7.0,13.0,1.5280982,-0.12837079,0.12552397,Emotion,RAW,The Office
office,7.0,14.0,1.4782784,-0.9447269,0.12552397,Emotion,RAW,The Office
office,7.0,15.0,0.5740172,-1.2067913,0.12552397,Emotion,RAW,The Office
office,7.0,16.0,1.7159965,-0.6005981,0.12552397,Emotion,RAW,The Office
office,7.0,17.0,1.4949158,0.43742657,0.12552397,Emotion,RAW,The Office
office,7.0,18.0,0.17397785,1.4313797,0.12552397,Emotion,RAW,The Office
office,7.0,19.0,1.5726165,-0.5011438,0.12552397,Emotion,RAW,The Office
office,7.0,20.0,1.3660792,-0.81667346,0.12552397,Emotion,RAW,The Office
office,7.0,21.0,1.3099651,0.6881905,0.12552397,Emotion,RAW,The Office
office,7.0,22.0,1.5345979,-0.88369787,0.12552397,Emotion,RAW,The Office
office,7.0,23.0,1.1069155,-0.82884794,0.12552397,Emotion,RAW,The Office
office,7.0,24.0,0.58549255,-1.1726844,0.12552397,Emotion,RAW,The Office
office,7.0,25.0,0.97312355,-1.2146177,0.12552397,Emotion,RAW,The Office
office,8.0,1.0,1.7602954,-0.8155907,0.12552397,Emotion,RAW,The Office
office,8.0,2.0,1.1060331,-1.3537246,0.12552397,Emotion,RAW,The Office
office,8.0,3.0,0.3502556,-1.6160429,0.12552397,Emotion,RAW,The Office
office,8.0,4.0,1.3441716,-0.5216016,0.12552397,Emotion,RAW,The Office
office,8.0,5.0,-0.42288098,-0.8265381,0.12552397,Emotion,RAW,The Office
office,8.0,6.0,0.7623808,-1.3968735,0.12552397,Emotion,RAW,The Office
office,8.0,7.0,0.37000716,-1.6474249,0.12552397,Emotion,RAW,The Office
office,8.0,8.0,1.0982419,-1.2184625,0.12552397,Emotion,RAW,The Office
office,8.0,9.0,1.1543608,-1.3512053,0.12552397,Emotion,RAW,The Office
office,8.0,10.0,-0.057908963,0.5764617,0.12552397,Emotion,RAW,The Office
office,8.0,11.0,1.2261344,-0.8345053,0.12552397,Emotion,RAW,The Office
office,8.0,12.0,1.1591065,0.28064984,0.12552397,Emotion,RAW,The Office
office,8.0,13.0,1.2092415,-0.7795067,0.12552397,Emotion,RAW,The Office
office,8.0,14.0,1.3840979,-0.9341855,0.12552397,Emotion,RAW,The Office
office,8.0,15.0,0.7922777,-1.2738696,0.12552397,Emotion,RAW,The Office
office,8.0,16.0,1.7470586,-0.8290827,0.12552397,Emotion,RAW,The Office
office,8.0,17.0,0.5387034,-1.0841105,0.12552397,Emotion,RAW,The Office
office,8.0,18.0,0.18899785,-1.5030558,0.12552397,Emotion,RAW,The Office
office,8.0,19.0,-0.07043691,-1.7880038,0.12552397,Emotion,RAW,The Office
office,8.0,20.0,-0.18245651,-1.7835548,0.12552397,Emotion,RAW,The Office
office,8.0,21.0,1.7280467,-0.5685107,0.12552397,Emotion,RAW,The Office
office,8.0,22.0,-0.24277481,-0.71504027,0.12552397,Emotion,RAW,The Office
office,8.0,23.0,0.43206537,-1.353513,0.12552397,Emotion,RAW,The Office
office,8.0,24.0,1.2183964,-1.1708394,0.12552397,Emotion,RAW,The Office
office,9.0,1.0,1.5228245,-0.11586271,0.12552397,Emotion,RAW,The Office
office,9.0,2.0,1.136799,-0.97652704,0.12552397,Emotion,RAW,The Office
office,9.0,3.0,1.3083533,0.5124236,0.12552397,Emotion,RAW,The Office
office,9.0,4.0,-0.6002243,-0.37970632,0.12552397,Emotion,RAW,The Office
office,9.0,5.0,-0.42260438,-0.82482845,0.12552397,Emotion,RAW,The Office
office,9.0,6.0,0.5645314,-0.72306114,0.12552397,Emotion,RAW,The Office
office,9.0,7.0,0.615866,-1.1501719,0.12552397,Emotion,RAW,The Office
office,9.0,8.0,0.1554138,-1.5604457,0.12552397,Emotion,RAW,The Office
office,9.0,9.0,1.0830548,0.1741863,0.12552397,Emotion,RAW,The Office
office,9.0,10.0,-0.49710262,-1.5713041,0.12552397,Emotion,RAW,The Office
office,9.0,11.0,1.0048114,0.54167366,0.12552397,Emotion,RAW,The Office
office,9.0,12.0,-0.08049184,-1.7919626,0.12552397,Emotion,RAW,The Office
office,9.0,13.0,0.59941745,-1.5801749,0.12552397,Emotion,RAW,The Office
office,9.0,14.0,-1.3379711,0.85136557,0.12552397,Emotion,RAW,The Office
